createdAt,updatedAt,patientID,patientName,patientBirthDate,patientNIK,patientPhoneNumber,patientAddress,patientEmail,isAlive,qualityScore,nameQuality
2020-01-19 18:40:57.358935,2022-01-21 06:11:55.146941,5d7d8da0-7dbe-4b0a-9c44-8f2fc1f3c51e,Tari Chandra,2006-06-15,1292364801956902,62850926551,"Perum Gang S. Parman No. 910, RT 13/RW 07, Ville, Medan 78579",,True,95,Valid
2021-03-13 08:28:58.732378,2021-06-03 09:12:18.429898,d3fe7926-cac1-4a3d-99d0-07f29b8a8f33,Lina,1991-04-28,1282961406191039,62841959086,"Gang Gg. Tebet Barat Dalam No. 697, RT 20/RW 03, Ville, Malang 31722",lina175@yahoo.co.id,False,100,OneWord
2021-11-26 07:35:12.516895,2021-11-26 07:35:12.516895,342ee413-dc71-4914-a854-0c0af156d324,Budi Susanti,,1197592402605899,62830288623,"Komplek Jalan Dipenogoro No. 562, RT 16/RW 07, Ville, Batam 82068",budisusanti270@yahoo.co.id,True,85,Valid
2020-06-01 14:46:19.545465,2023-05-07 05:15:35.824240,b8b8d41f-f048-44b8-9940-99a07229213e,Tono Oktaviani,2002-08-29,,62860684795,"Gang Gang Pacuan Kuda No. 488, RT 18/RW 06, Ville, Semarang 34520",tonooktaviani95@gmail.com,True,75,Valid
2022-02-16 03:45:44.195849,2022-02-16 03:45:44.195849,e1b92377-fc64-4d7b-9e11-f6c61622731f,Deni Santoso,2009-01-23,1349441611558614,62804873559,"Gg. Gg. Pasir Koja No. 643, RT 15/RW 04, Ville, Surabaya 87536",denisantoso68@yahoo.com,True,100,Valid
2020-01-23 20:28:07.721761,2025-06-21 22:27:30.895396,760ece32-4fc9-46ad-8e7f-705905a0808e,Reza,2003-09-01,,62894211359,"Jalan Gg. Siliwangi No. 591, RT 06/RW 03, Ville, Padang 35664",reza477@yahoo.co.id,True,75,OneWord
2023-06-14 00:02:43.204771,2023-11-16 20:05:27.386804,7833455a-2001-4838-888f-11b9f11047ab,Aldi,1937-08-04,,62853174436,"Jalan Jl. Ciumbuleuit No. 580, RT 13/RW 03, Ville, Depok 50322",aldi16@yahoo.co.id,True,75,OneWord
2021-04-25 15:19:15.200031,2021-04-25 15:19:15.200031,fb1a9af7-49e8-4181-af64-7995a4ebc2d6,Ayu,,1185720902382221,62865529956,"Perum Jl. Lembong No. 40, RT 17/RW 08, Ville, Bekasi 60668",ayu568@outlook.com,True,85,OneWord
2023-11-19 09:17:14.012957,2023-11-19 09:17:14.012957,eb5d1126-e0ea-4bb5-9b63-58e9828c4117,Budi,2022-10-27,6570486705504322,62847154312,"Perum Jl. Suniaraja No. 898, RT 13/RW 04, Ville, Pekanbaru 73540",budi658@gmail.co.id,True,100,OneWord
2021-02-27 13:07:14.567485,2023-02-06 02:39:14.715997,b88bbff9-33e2-4597-83a8-ea59dc471300,Wahyu Setiawan,1964-05-05,5368546806435672,62884896089,"Komplek Gang Abdul Muis No. 847, RT 08/RW 06, Ville, Medan 56639",wahyusetiawan606@outlook.com,True,100,Valid
